ColumnID,Text,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP
A," think there are a lot of subjects related to Korean-Chinese crimes among Korean films. Crime city, youth police, etc... In fact, I think a lot of similar things happen. Kidnapping, drugs, organ trafficking, etc. I couldn't have imagined until I saw the movie. Otherwise, it doesn't seem like there's smoke coming out of the fire! I think there are a lot of crimes related to Korean-Chinese people. I'm anxious and scared~",1,71,73.06,1.61,99,2.07,8.88,16.9,83.1,64.79,50.7,9.86,7.04,7.04,0,0,0,0,2.82,11.27,7.04,0,15.49,9.86,4.23,4.23,2.82,21.13,2.82,12.68,1.41,0,0,1.41,14.08,0,14.08,9.86,0,1.41,1.41,0,2.82,0,2.82,0,2.82,2.82,0,2.82,2.82,0,0,0,1.41,0,0,0,0,0,0,0,0,0,0,0,4.23,0,4.23,0,2.82,2.82,0,0,0,0,1.41,1.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.63,12.68,0,1.41,11.27,1.41,0,0,2.82,2.82,7.04,0,0,0,0,0,0,32.39,11.27,9.86,0,1.41,5.63,4.23
A," Koreans are the main cause of violent crimes. As you know, how many crimes were committed by the Korean-Chinese? I also live in Daerim-dong, and every time I pass by the streets at night, I feel so numb that I am going to die. How common is human trafficking? It's cool every time the bongo is filled. It's all because of Moon Jae-in. The president is like this, so is the country.",1,72,41.36,40.06,59.49,7.66,10.29,13.89,88.89,75,58.33,12.5,6.94,5.56,0,1.39,0,0,5.56,16.67,8.33,0,12.5,12.5,6.94,8.33,0,22.22,9.72,5.56,2.78,0,1.39,1.39,12.5,4.17,8.33,5.56,5.56,0,0,0,0,0,4.17,1.39,2.78,2.78,0,2.78,0,1.39,0,0,5.56,0,0,0,0,0,0,4.17,0,0,0,0,4.17,1.39,2.78,0,0,0,0,0,0,0,4.17,1.39,0,0,0,0,0,0,1.39,0,0,0,0,1.39,0,0,0,0,12.5,11.11,0,1.39,5.56,0,0,4.17,1.39,1.39,12.5,2.78,0,0,0,0,0,22.22,6.94,5.56,2.78,0,2.78,4.17
A,"When I look at the recent crimes, I think that living in the world is very scary. It is a world where incidents, big and small, do not stop, but among them, the crime news of Korean-Chinese people is really creepy. When you see events that appear only in movies on the news, you may be confused about what is real and what is a movie. It's still rough, but it seems that the number of Koreans is increasing, making it a more difficult country to live in.",1,88,28.98,33.62,85.15,1,22,7.95,95.45,80.68,61.36,15.91,5.68,2.27,0,2.27,0,1.14,10.23,13.64,9.09,0,11.36,11.36,9.09,6.82,1.14,20.45,10.23,5.68,0,0,0,0,12.5,0,12.5,2.27,1.14,0,3.41,2.27,3.41,0,5.68,0,5.68,3.41,0,3.41,2.27,0,0,0,6.82,2.27,0,0,0,0,2.27,3.41,0,0,0,0,2.27,0,2.27,0,2.27,2.27,0,0,0,0,2.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.23,15.91,1.14,0,11.36,3.41,0,1.14,4.55,0,9.09,1.14,0,0,0,0,0,15.91,4.55,9.09,0,0,1.14,1.14
A," As you can see from the social news these days, if you look at articles about stabbing and killing people for insignificant reasons or hurting people by making a riot with a knife in broad daylight, 9 out of 10 cases are related to Korean-Chinese. There are, of course, normal Koreans, but most of them are violent and impatient. Let's be honest, let's admit this.",1,65,71.09,87.26,41.41,1,21.67,18.46,92.31,70.77,53.85,10.77,7.69,0,3.08,3.08,0,1.54,3.08,9.23,4.62,3.08,20,10.77,3.08,9.23,0,15.38,12.31,3.08,6.15,3.08,0,3.08,15.38,0,15.38,4.62,3.08,1.54,3.08,3.08,4.62,0,7.69,1.54,6.15,4.62,0,4.62,1.54,1.54,0,0,15.38,6.15,0,0,1.54,1.54,1.54,7.69,0,0,0,0,3.08,0,3.08,0,0,0,0,0,0,0,3.08,0,0,0,0,0,0,0,1.54,0,0,0,0,0,0,0,0,0,7.69,10.77,1.54,0,6.15,3.08,0,1.54,3.08,0,9.23,0,0,0,0,0,0,18.46,4.62,9.23,0,0,3.08,1.54
A,"There are many problems with Koreans. We are rather friendly, but we do not know what they are inside. Of course, not all of them are like that, but it seems that a significant number of Korean-Chinese are also involved in or take the lead in violent crimes. There are many unknown crimes. We need a warm gaze, but let's all be careful.",1,63,15.12,58.95,56.69,20.23,12.6,14.29,95.24,85.71,68.25,15.87,9.52,0,6.35,0,0,3.17,6.35,14.29,4.76,0,12.7,14.29,6.35,7.94,3.17,20.63,12.7,6.35,9.52,7.94,1.59,1.59,26.98,1.59,25.4,3.17,1.59,1.59,9.52,3.17,9.52,0,3.17,1.59,1.59,3.17,1.59,1.59,0,1.59,0,0,11.11,1.59,1.59,0,0,0,0,9.52,0,0,0,0,3.17,0,3.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59,0,1.59,0,0,0,0,1.59,0,6.35,11.11,0,0,7.94,1.59,0,1.59,0,0,12.7,0,0,0,0,0,0,17.46,7.94,6.35,0,0,1.59,1.59
A," Chosun-jok are not allowed to commit such cruel crimes because they are afraid. I don't want to even go near the Korean-Chinese because I'm afraid. Special crackdown on the villages or neighborhoods where Korean-Chinese live together. How do you live together, cruel things...",1,43,19.49,27.38,82.44,1,10.75,27.91,93.02,76.74,53.49,11.63,9.3,4.65,0,2.33,0,2.33,2.33,6.98,4.65,0,9.3,11.63,6.98,6.98,4.65,23.26,13.95,0,9.3,6.98,0,2.33,16.28,0,16.28,2.33,9.3,2.33,2.33,0,4.65,0,9.3,0,9.3,9.3,0,9.3,4.65,4.65,0,0,16.28,6.98,0,0,4.65,4.65,0,9.3,0,0,0,0,4.65,0,4.65,0,2.33,0,2.33,0,0,0,4.65,0,0,0,0,0,0,0,0,0,2.33,0,0,0,0,0,0,0,9.3,11.63,0,2.33,11.63,0,0,0,0,0,9.3,0,0,0,0,0,0,27.91,13.95,2.33,0,0,4.65,6.98
A,"Anyway, it's not okay to let Korean-Chinese step on our land, so if you do anything, you'll have a murder case and take your money, phishing phishing, committing a crime, and living because you're afraid. really",1,36,1,99,22.12,1,18,16.67,86.11,72.22,58.33,19.44,13.89,0,2.78,11.11,0,0,5.56,11.11,5.56,0,5.56,13.89,8.33,13.89,2.78,22.22,5.56,0,2.78,2.78,0,0,13.89,0,13.89,0,2.78,0,5.56,2.78,5.56,0,5.56,0,5.56,2.78,0,2.78,2.78,0,0,0,16.67,2.78,0,0,2.78,0,0,13.89,0,0,0,0,2.78,0,2.78,0,0,0,0,0,0,0,5.56,0,0,0,0,0,0,0,2.78,0,0,2.78,0,0,0,0,0,0,11.11,8.33,0,2.78,5.56,0,0,0,0,0,5.56,2.78,2.78,0,2.78,0,0,30.56,2.78,16.67,0,0,8.33,2.78
A," It seems that there are many Korean-Chinese people coming in and violent crimes have occurred. It seems that the Korean people are said to be the best security in the world. If you commit a crime, you should not be regarded as a foreigner and should be severely punished.",1,49,32.77,64.19,37.24,1,16.33,16.33,93.88,75.51,59.18,12.24,4.08,0,0,4.08,0,0,8.16,16.33,10.2,0,8.16,16.33,2.04,8.16,2.04,28.57,6.12,2.04,4.08,0,2.04,2.04,12.24,0,12.24,4.08,0,4.08,6.12,0,4.08,0,6.12,0,6.12,2.04,0,2.04,0,2.04,0,0,12.24,6.12,0,2.04,0,0,2.04,6.12,0,0,0,0,6.12,0,6.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.04,0,8.16,10.2,0,2.04,10.2,0,0,0,0,4.08,8.16,0,0,0,0,0,0,10.2,6.12,2.04,0,0,0,2.04
A," also live in an area where there are a lot of Korean-Chinese (the location is not disclosed due to personal risk), but the Korean-Chinese are really scary people. Everyone must have seen the crime city movie. This is a film that shows just how ruthless and heartless the Korean-Chinese people in the 2000s are. There are no such makga-style Korean-Chinese in this era, but their atrocities are still ingrained deep inside. Then you get a rough idea of whether this person is normal or not. I'm not saying that all Korean-Chinese are killers, just as each person has their own personality. Humans can barely detect danger with their eyes. Anyway, people who live in an area where there are many Koreans like me, please take care of yourself. I can go to Hankyu for no reason..",1,136,27.96,31.82,83.69,1.85,15.11,13.97,94.85,70.59,61.03,11.03,6.62,2.21,0,1.47,0,2.21,4.41,18.38,7.35,0.74,10.29,11.76,9.56,5.88,3.68,17.65,4.41,3.68,2.21,0,0,2.21,15.44,2.94,12.5,2.94,1.47,2.94,1.47,2.21,5.15,0,4.41,0.74,3.68,0.74,0,0.74,0.74,0,0,0,13.24,4.41,1.47,0.74,0.74,0.74,1.47,8.09,0,0,0,0,4.41,0,4.41,0,1.47,1.47,0,0,0,0,2.94,0,0,0,0,0,0,0,0.74,0,0,1.47,0.74,0,0,0,1.47,0,8.82,16.18,0.74,0.74,13.24,1.47,0,0.74,2.21,2.21,10.29,0,0,0,0,0,0,17.65,7.35,3.68,0,0,0.74,5.88
A,"If you talk to them for a long time, they are Chinese people who take the Chinese side. Each country has a universal level of education and a sense of order... It seems that they are also Chinese, so they do not have a good sense of citizenship and use a lot of violence ignorantly. In the past, Koreans went to China and did a lot of bad things to Korean-Chinese people.",1,72,73.36,72.07,39.59,2.17,18,15.28,98.61,76.39,59.72,12.5,8.33,0,0,1.39,0,5.56,4.17,16.67,11.11,0,13.89,8.33,2.78,8.33,1.39,16.67,9.72,9.72,1.39,0,0,1.39,8.33,0,8.33,4.17,1.39,0,2.78,0,2.78,0,5.56,1.39,4.17,2.78,1.39,1.39,0,0,0,0,11.11,1.39,0,0,0,0,1.39,8.33,0,0,0,0,8.33,1.39,6.94,0,1.39,0,0,1.39,0,0,0,0,0,0,0,0,0,0,0,0,0,1.39,4.17,0,0,0,0,0,11.11,11.11,0,1.39,6.94,0,0,2.78,1.39,4.17,5.56,0,0,0,0,0,0,13.89,8.33,4.17,0,0,0,1.39
A," It is said that the crime rate rises because of the Korean-Chinese. I've also heard rumors that Korean-Chinese always carry weapons such as knives. Even the police don't want to enter the neighborhood where Korean-Chinese people live. I would like to deport the Korean-Chinese who are illegally staying in Korea. The safety of Koreans is being threatened. Koreans think of themselves as Chinese.",1,63,61.53,40.06,10.18,43.94,10.5,22.22,92.06,69.84,53.97,11.11,6.35,3.17,0,0,0,1.59,4.76,14.29,9.52,0,14.29,11.11,6.35,6.35,1.59,25.4,1.59,1.59,4.76,0,0,4.76,9.52,1.59,7.94,1.59,1.59,4.76,0,0,0,0,7.94,4.76,3.17,3.17,3.17,0,0,0,0,0,9.52,4.76,0,0,1.59,0,3.17,4.76,0,0,0,0,12.7,1.59,11.11,0,1.59,0,1.59,0,0,0,1.59,0,0,0,0,0,0,0,0,0,1.59,0,0,0,0,0,3.17,0,3.17,11.11,0,3.17,6.35,0,1.59,0,1.59,4.76,6.35,0,0,0,0,0,0,19.05,9.52,0,0,0,3.17,6.35
A,"Day by day, the number of Korean-Chinese people running around in Korea is increasing. If you look at the little ones who do, they choose only violent crimes and make mistakes. Worried about the future. Crimes such as human trafficking of Korean-Chinese should not occur, and let's keep an eye on the Korean-Chinese people around us. don't know what you're doing",1,61,55.44,93.01,27.07,1.32,12.2,14.75,90.16,75.41,54.1,11.48,9.84,0,3.28,3.28,0,1.64,1.64,9.84,8.2,0,16.39,11.48,6.56,6.56,3.28,19.67,8.2,8.2,3.28,3.28,0,0,13.11,0,13.11,3.28,1.64,3.28,1.64,0,3.28,0,6.56,1.64,4.92,3.28,0,3.28,1.64,1.64,0,0,11.48,0,0,0,0,0,0,11.48,0,0,0,0,4.92,0,4.92,0,0,0,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.75,9.84,1.64,1.64,4.92,3.28,0,0,4.92,0,6.56,1.64,0,0,0,0,0,21.31,6.56,4.92,0,0,4.92,4.92
A," Korean-Chinese lack patriotism for their own people or country. Having lived in another country for a long time, they show a significant difference in their beliefs about their country or their patriotism. Therefore, they ignore human rights and focus only on making money. There is a lot of room for murder and riots.",1,53,65.45,62.44,93.37,5.02,13.25,20.75,98.11,66.04,52.83,13.21,11.32,0,0,0,0,11.32,1.89,16.98,5.66,0,15.09,3.77,7.55,7.55,0,11.32,5.66,9.43,1.89,0,0,1.89,15.09,0,15.09,3.77,1.89,1.89,3.77,0,7.55,0,1.89,0,1.89,0,0,0,0,0,0,0,28.3,11.32,0,0,1.89,7.55,0,11.32,0,0,0,0,5.66,3.77,1.89,0,1.89,0,1.89,0,0,0,3.77,0,0,0,0,0,0,0,1.89,0,0,0,1.89,0,0,0,0,0,13.21,22.64,3.77,0,16.98,1.89,0,0,0,1.89,1.89,0,0,0,0,0,0,13.21,7.55,3.77,0,0,0,1.89
A,"Believe it or not... Korean-Chinese believe and filter... Wow, is this a true story? The Korean-Chinese are really vomiting. If they do anything they do, it's all these people... Shouldn't they really be banned from entering the country? Crazy, really, why aren't the Koreans deported?? Deportation is the answer. Actually, there are a lot of Korean-Chinese criminals... If you have Korean-Chinese around you, be really careful.",1,66,2.54,31.58,39.59,6.9,6.6,25.76,96.97,78.79,66.67,15.15,7.58,0,0,3.03,0,4.55,7.58,15.15,9.09,0,4.55,18.18,12.12,6.06,4.55,22.73,6.06,6.06,0,0,0,0,27.27,1.52,25.76,4.55,1.52,1.52,6.06,7.58,7.58,0,4.55,0,1.52,3.03,0,0,0,0,0,0,13.64,4.55,0,0,0,1.52,3.03,7.58,0,0,0,0,10.61,3.03,7.58,0,0,0,0,0,0,0,1.52,1.52,1.52,0,0,0,0,0,0,0,0,0,0,0,0,0,1.52,0,4.55,6.06,0,1.52,4.55,0,0,0,0,0,9.09,0,1.52,0,0,0,1.52,48.48,22.73,9.09,6.06,0,4.55,6.06
A," The Korean-Chinese are dirty and have no regard for others. And there is a risk of committing a crime, so you should always be careful. If possible, avoid visiting areas with a large number of Korean-Chinese people late. It is necessary to strengthen security in the area where Korean-Chinese is mainly inhabited, to brighten the lights at night, and to guide that it is a criminal area.",1,67,63.7,31.7,28.11,20.23,16.75,19.4,92.54,71.64,58.21,7.46,1.49,0,0,1.49,0,0,5.97,13.43,10.45,0,13.43,11.94,7.46,7.46,1.49,13.43,8.96,2.99,1.49,0,0,1.49,8.96,2.99,5.97,0,0,1.49,2.99,0,2.99,0,2.99,1.49,1.49,0,0,0,0,0,0,0,7.46,5.97,1.49,1.49,0,1.49,0,1.49,0,0,0,0,4.48,0,4.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.49,0,0,0,0,0,0,5.97,0,5.97,10.45,0,0,8.96,1.49,0,0,4.48,0,7.46,0,0,0,0,0,0,16.42,5.97,5.97,0,0,0,4.48
A,"The act of posting fake comments is not allowed. Just imagining this makes me uncomfortable. It's a scary thing to write a comment wrong and come back, but it doesn't seem to be this part no matter how much you assume that your boss gave you instructions. It seems to be a contradiction in itself to do research on this kind of thing.",1,63,29.12,40.06,67.59,1,15.75,14.29,95.24,76.19,60.32,22.22,6.35,1.59,0,4.76,0,0,15.87,17.46,6.35,0,12.7,9.52,3.17,3.17,4.76,19.05,6.35,3.17,3.17,0,0,3.17,23.81,1.59,22.22,7.94,4.76,0,7.94,0,4.76,0,6.35,0,6.35,3.17,0,3.17,1.59,0,0,0,19.05,12.7,0,0,0,3.17,6.35,6.35,0,0,0,0,0,0,0,0,4.76,0,0,4.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.17,6.35,4.76,0,1.59,4.76,0,0,0,0,1.59,7.94,0,0,0,0,0,0,11.11,6.35,1.59,0,0,3.17,0
A," The problem of Korean-Chinese is not a matter of yesterday or today. Due to the nature of the Korean-Chinese, who have a lot of problems with illegal stay, they are basically committing a crime. more likely to commit a crime It can be said to be the main cause of violent crimes that cause social crowds and fearful crimes due to social maladjustment and their own sense of group.",1,69,94.33,57.35,4.38,1,23,15.94,89.86,68.12,53.62,7.25,4.35,0,0,0,0,2.9,2.9,17.39,11.59,0,15.94,8.7,1.45,4.35,1.45,13.04,11.59,5.8,2.9,0,0,2.9,14.49,0,14.49,1.45,2.9,1.45,2.9,0,2.9,0,4.35,0,4.35,2.9,0,2.9,1.45,1.45,0,0,11.59,1.45,0,0,0,0,1.45,7.25,0,0,0,0,2.9,0,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.35,2.9,0,0,1.45,0,0,1.45,4.35,2.9,4.35,0,0,0,0,0,0,10.14,4.35,2.9,0,0,0,2.9
