ColumnID,Text,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP
A,"Those who work legally and receive proper service training are fine, but those who are illegally resident or who have not received proper service training feel that they are unkind and have problems in attitude and expression. I feel and think that it may have something to do with the occurrence of crime.",1,53,4.02,29.6,29.13,5.02,26.5,26.42,90.57,71.7,58.49,20.75,9.43,1.89,0,0,0,1.89,11.32,9.43,1.89,0,7.55,15.09,0,11.32,1.89,20.75,7.55,0,3.77,0,1.89,1.89,16.98,0,16.98,5.66,0,0,5.66,0,5.66,0,5.66,1.89,3.77,0,0,0,0,0,0,0,9.43,1.89,0,0,1.89,0,0,7.55,0,0,0,0,0,0,0,0,11.32,0,1.89,9.43,0,0,0,0,0,0,0,0,0,0,0,0,0,3.77,0,0,0,0,0,0,11.32,5.66,0,0,1.89,0,0,3.77,0,1.89,9.43,1.89,0,0,0,0,0,5.66,3.77,1.89,0,0,0,0
A,"think that people have different values depending on the environment they grew up in, and because there is a difference of thinking with the Korean-Chinese who lived in other cultures, the way they think about harm to others may be different, so I think there are many problems resulting from such differences. Feelings of guilt about the problem of harming people may be different, and I believe that these things can be the main cause of violent crime",1,78,64.84,7.93,98.03,1,39,23.08,97.44,76.92,60.26,12.82,6.41,2.56,0,0,0,2.56,6.41,15.38,7.69,0,16.67,11.54,6.41,5.13,0,21.79,8.97,1.28,0,0,0,0,28.21,0,28.21,7.69,5.13,1.28,3.85,0,8.97,0,5.13,0,5.13,2.56,0,2.56,0,1.28,0,0,5.13,0,0,0,0,0,0,3.85,0,0,0,0,1.28,0,1.28,0,0,0,0,0,0,0,1.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.28,0,3.85,12.82,0,0,11.54,0,0,1.28,0,2.56,3.85,2.56,0,0,0,0,0,7.69,1.28,5.13,0,0,0,1.28
A,"Korean-Chinese are also of the same ethnicity in a way, but lately, it seems to only make the image of Korean-Chinese worse by highlighting the negative aspects of movies and news articles. I saw a lot of people who came to Korea to live their lives hard... I hope that the actions of some people don't make the mistake of judging all Korean-Chinese people as bad guys.",1,67,94.44,24.15,19.76,1,22.33,16.42,92.54,71.64,52.24,8.96,5.97,2.99,0,0,0,1.49,2.99,17.91,10.45,0,17.91,2.99,4.48,5.97,1.49,14.93,8.96,7.46,1.49,0,0,1.49,11.94,1.49,10.45,1.49,2.99,2.99,2.99,0,2.99,0,7.46,1.49,5.97,2.99,1.49,1.49,0,0,0,0,7.46,2.99,0,0,0,1.49,1.49,4.48,0,0,0,1.49,5.97,0,5.97,0,1.49,1.49,0,0,0,0,2.99,0,0,0,0,0,0,0,0,0,1.49,0,0,0,0,0,0,0,8.96,11.94,0,1.49,5.97,2.99,0,1.49,1.49,2.99,5.97,1.49,0,0,0,0,0,16.42,7.46,2.99,0,0,1.49,4.48
A,"It is likely that the Korean-Chinese will leave a comment that agrees with the opinion of the culprit of the violent crime. I think that things that do not even exist, such as cases of long-term trading by actual experienced people, will become an issue and the film will not be made. And because of my job, I often work with Korean-Chinese people. Of course, I work hard for a living, but I don't have a sense of responsibility and I often hear derogatory comments about women, so it's not a good feeling.",1,93,48.05,1,66.26,1,23.25,15.05,90.32,73.12,60.22,13.98,6.45,6.45,0,0,0,0,7.53,17.2,10.75,0,12.9,9.68,5.38,7.53,4.3,17.2,5.38,0,2.15,0,2.15,0,20.43,0,18.28,4.3,3.23,0,3.23,2.15,4.3,0,4.3,0,4.3,2.15,1.08,1.08,0,1.08,0,0,2.15,1.08,0,0,0,0,1.08,1.08,0,0,1.08,0,2.15,0,2.15,0,6.45,1.08,0,5.38,1.08,0,1.08,0,0,0,0,0,0,0,0,0,0,0,2.15,0,0,0,0,0,4.3,6.45,0,1.08,1.08,0,1.08,3.23,3.23,1.08,4.3,3.23,0,0,0,0,0,16.13,4.3,6.45,0,0,2.15,3.23
A,"It may be an unfounded prejudice against Korean-Chinese, but I think this is an unavoidable prejudice as many of the vicious criminals were Korean-Chinese. First of all, it's scary because I've actually seen Korean-Chinese who live near Daerim Station and wield swords. It was because of this experience that I resonated with the movie Young Police. For this, the Korean-Chinese themselves will have to make a lot of effort to improve their image.",1,73,54.5,25.32,14.66,7.77,18.25,26.03,89.04,73.97,63.01,17.81,8.22,4.11,0,0,0,2.74,9.59,20.55,8.22,1.37,15.07,12.33,1.37,6.85,0,19.18,9.59,8.22,4.11,0,2.74,1.37,12.33,1.37,10.96,1.37,4.11,0,1.37,1.37,2.74,0,4.11,1.37,2.74,2.74,0,2.74,1.37,0,0,0,9.59,5.48,0,0,1.37,4.11,0,4.11,0,0,0,0,5.48,0,5.48,0,2.74,1.37,0,1.37,0,0,1.37,0,0,0,0,0,0,0,0,2.74,0,0,0,0,0,0,0,0,2.74,5.48,0,0,2.74,2.74,0,0,1.37,5.48,2.74,5.48,0,0,0,0,0,17.81,5.48,4.11,0,0,2.74,5.48
A,"It's an individual person's inclination. Let's not do that too much. Don't think with prejudice. The people I know are Korean-Chinese, and they work harder than anyone else and raise their children well. I wish I didn't wear sunglasses too much. Whether it's Koreans or Koreans, garbage people exist everywhere. Koreans should not be viewed with strange eyes.",1,58,1,1.94,67.94,1,8.29,24.14,94.83,72.41,58.62,17.24,10.34,5.17,1.72,0,0,3.45,6.9,10.34,3.45,0,5.17,15.52,8.62,8.62,6.9,24.14,5.17,8.62,3.45,1.72,1.72,0,22.41,1.72,20.69,3.45,0,3.45,3.45,0,12.07,0,8.62,1.72,6.9,0,0,0,0,0,0,0,13.79,1.72,0,0,0,1.72,0,10.34,0,0,0,0,6.9,0,6.9,0,1.72,0,0,1.72,0,0,1.72,0,0,0,0,0,0,0,0,0,1.72,0,0,0,0,0,0,1.72,6.9,6.9,0,1.72,1.72,3.45,0,0,0,3.45,8.62,1.72,0,0,0,0,0,27.59,12.07,3.45,0,0,10.34,1.72
A,"Not all Korean-Chinese commit violent crimes, but there are many violent crimes by Korean-Chinese, so I would like a thorough investigation into the illegal stay or entry of Korean-Chinese. In fact, whenever I see an incident caused by the Korean-Chinese, my heart is pounding. Therefore, I believe that the government should thoroughly manage this part.",1,55,50.6,1,84.17,5.35,18.33,29.09,89.09,76.36,56.36,10.91,7.27,7.27,0,0,0,0,3.64,18.18,9.09,0,10.91,7.27,9.09,7.27,1.82,20,9.09,3.64,1.82,0,0,1.82,23.64,0,23.64,5.45,1.82,5.45,5.45,0,7.27,0,9.09,3.64,5.45,7.27,3.64,3.64,0,3.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,1.82,7.27,0,1.82,0,0,1.82,0,0,1.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.64,9.09,0,0,7.27,1.82,0,0,1.82,1.82,3.64,0,0,0,0,0,0,21.82,5.45,9.09,0,0,0,7.27
A,"First of all, when it comes to Koreans, it is true that prejudice prevails, and it is true that they are afraid. I think the restrictions on foreign workers in Korea and the entry procedures should be further strengthened. It's called prejudice, but if you look at the events that actually happen, it's true that they are Korean-Chinese, and it's also true that Daerim is scary. Please make the country a better place to live",1,75,12.09,55.96,26.54,7.99,18.75,17.33,93.33,78.67,57.33,20,5.33,1.33,0,1.33,0,2.67,14.67,16,6.67,1.33,8,13.33,4,9.33,0,22.67,13.33,2.67,6.67,0,1.33,5.33,14.67,1.33,13.33,1.33,1.33,1.33,1.33,1.33,2.67,0,6.67,2.67,4,2.67,0,2.67,2.67,0,0,0,12,5.33,1.33,1.33,0,2.67,1.33,5.33,0,0,0,0,2.67,0,2.67,0,1.33,0,0,1.33,0,0,1.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9.33,1.33,1.33,8,1.33,0,0,1.33,1.33,12,0,0,0,0,0,0,17.33,4,8,0,0,4,1.33
A,"I think it is an unfounded prejudice against the Korean-Chinese. In some media and movies, it seems that Korean-Chinese are selected and used as characters of rough and violent criminals. As the public has easy access to the media and media movies, most of all Korean-Chinese may not fall under violent crime, but it seems to be the part where prejudice arises for almost all people because of the representative character of violent crime.",1,74,82.85,7.05,55.76,1,24.67,21.62,85.14,70.27,55.41,6.76,1.35,1.35,0,0,0,0,5.41,14.86,8.11,0,16.22,6.76,2.7,10.81,1.35,12.16,9.46,6.76,0,0,0,0,18.92,2.7,16.22,5.41,2.7,0,5.41,0,5.41,0,5.41,0,5.41,4.05,0,4.05,0,4.05,0,0,4.05,4.05,0,0,0,4.05,0,0,0,0,0,0,4.05,0,4.05,0,2.7,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7,6.76,0,1.35,5.41,0,0,1.35,0,1.35,6.76,1.35,0,0,0,0,0,12.16,4.05,4.05,0,0,0,4.05
A,few incidents seem to shape the perception of Korean-Chinese in a bad way... Not all Korean-Chinese are like that. But basic etiquette and things like that seem to be inferior to us. Wouldn't it be better to be considerate of each other as we are of the same ethnic group? I think it's better to get rid of baseless prejudice.,1,60,77.34,22.56,39.59,45.29,12,16.67,96.67,81.67,61.67,13.33,5,1.67,3.33,0,0,0,8.33,15,5,0,21.67,11.67,0,5,3.33,20,15,1.67,8.33,3.33,3.33,1.67,16.67,0,16.67,6.67,0,1.67,6.67,0,6.67,0,8.33,5,3.33,1.67,0,1.67,0,0,0,0,10,5,1.67,1.67,0,1.67,0,5,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.67,1.67,0,0,0,0,0,8.33,5,0,0,3.33,0,0,0,0,0,5,0,0,0,0,0,0,18.33,10,0,1.67,0,3.33,3.33
A,"It is true that violent crimes occur, but the crime rate itself is not high. Proper fact-checking by statistics is necessary. Preconceived notions may arise about the brutal scenes expressed in movies, etc. It is said that Korean-Chinese criminal organizations such as Daerim and Yeongdeungpo are active. Check to see if public powers are not within reach. I think that accurate fact-checking is necessary through reporting or reporting.",1,68,37.99,2.18,46.57,1.85,11.33,25,79.41,67.65,45.59,10.29,1.47,1.47,0,0,0,0,8.82,8.82,2.94,0,10.29,11.76,1.47,7.35,2.94,16.18,16.18,1.47,1.47,0,0,1.47,11.76,0,11.76,1.47,0,0,4.41,0,7.35,0,2.94,0,2.94,1.47,0,1.47,0,1.47,0,0,4.41,4.41,0,0,1.47,1.47,1.47,0,0,0,0,0,1.47,0,1.47,0,5.88,1.47,0,4.41,0,0,0,0,0,0,0,0,0,0,0,2.94,0,0,0,0,0,0,0,0,2.94,8.82,1.47,1.47,5.88,1.47,0,0,0,1.47,10.29,1.47,0,0,0,0,0,16.18,8.82,2.94,0,0,0,4.41
A,"It's not that I wrote an article about something that didn't happen. We need to find out why it is common to come to a foreign country and ignore the law, and we need to take strong sanctions. There would be no prejudice against the Korean-Chinese, who have no problems. I think there is a reason for prejudice. But I think people shouldn't just look at people and ignore them.",1,70,18.12,6.16,53.28,41.28,14,15.71,98.57,84.29,62.86,17.14,10,4.29,2.86,0,0,1.43,7.14,12.86,7.14,0,12.86,11.43,7.14,5.71,7.14,28.57,4.29,0,7.14,2.86,0,4.29,24.29,2.86,21.43,5.71,2.86,5.71,1.43,0,5.71,0,1.43,1.43,0,0,0,0,0,0,0,0,14.29,7.14,0,0,0,2.86,1.43,5.71,0,0,0,0,2.86,1.43,1.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.86,0,1.43,0,0,0,0,0,0,18.57,12.86,4.29,1.43,7.14,1.43,0,0,0,2.86,4.29,0,0,0,0,0,0,15.71,7.14,2.86,0,0,4.29,1.43
A,"Although the image of Korean-Chinese is badly wrapped by some criminals and movies, just as there are not all bad people and not all good people in human life, there are only a few people who commit crimes, and it is impossible to say the whole of the majority. I agree with the opinion of unfounded bias.",1,57,67.62,5.8,33.61,5.65,28.5,14.04,92.98,77.19,61.4,5.26,3.51,1.75,0,0,0,0,1.75,15.79,8.77,0,14.04,7.02,8.77,8.77,3.51,10.53,12.28,7.02,0,0,0,0,12.28,0,12.28,1.75,0,0,7.02,0,7.02,0,5.26,1.75,3.51,5.26,1.75,3.51,0,0,0,0,10.53,5.26,0,0,0,1.75,1.75,3.51,0,0,0,0,1.75,0,1.75,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.77,7.02,0,0,5.26,1.75,0,0,0,0,7.02,0,1.75,0,1.75,0,0,10.53,3.51,5.26,0,0,0,1.75
A,"think it is an error of hasty generalization to say that Korean-Chinese are the culprits of violent crimes. In some countries, Koreans may be treated as the culprits of violent crimes. Besides, if you look at the 3D industry in Korea, I think it would have been paralyzed in some parts if it weren't for the Korean-Chinese. You should think of the people who are working hard for low wages in our country.",1,73,79.95,40.06,57.62,2.26,18.25,20.55,86.3,73.97,58.9,12.33,6.85,1.37,1.37,2.74,0,0,5.48,13.7,8.22,1.37,19.18,13.7,1.37,4.11,1.37,21.92,5.48,5.48,2.74,1.37,1.37,0,15.07,0,15.07,4.11,0,2.74,4.11,0,6.85,0,2.74,0,2.74,2.74,0,2.74,0,2.74,0,0,8.22,1.37,0,0,0,0,1.37,5.48,0,0,0,0,4.11,0,4.11,0,4.11,0,0,4.11,1.37,0,1.37,1.37,1.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.85,12.33,1.37,0,9.59,1.37,0,1.37,0,2.74,5.48,1.37,0,0,0,0,0,13.7,5.48,4.11,0,0,1.37,2.74
A,"Although I have never met the Korean-Chinese in person, I have often seen articles involving Korean-Chinese among the violent crimes reported in the news. I feel like I don't want to go to a street lined with Chinese signboards where Korean-Chinese people live. I don't know if the state is managing the issue of illegal stay well. Well, I don't think there's any way to stop it if you don't let it in from the beginning.",1,76,52.34,1,99,39.38,19,17.11,90.79,73.68,57.89,11.84,9.21,7.89,0,1.32,0,0,2.63,10.53,9.21,0,14.47,9.21,7.89,3.95,6.58,21.05,3.95,0,3.95,0,0,3.95,14.47,1.32,13.16,3.95,0,1.32,5.26,0,5.26,0,6.58,3.95,2.63,1.32,0,1.32,0,1.32,0,0,5.26,2.63,0,0,0,0,1.32,2.63,0,0,0,0,5.26,0,5.26,0,1.32,0,0,1.32,0,0,1.32,0,0,0,0,0,0,0,0,0,1.32,0,0,0,0,0,0,0,13.16,18.42,0,1.32,15.79,1.32,0,1.32,5.26,2.63,7.89,0,0,0,0,0,0,18.42,5.26,2.63,0,0,6.58,3.95
A,"It is clear that the appearance of Korean-Chinese in the media such as movies and the media is a risk factor even if some of them are Korean-Chinese Koreans are not our people, they also live in other countries for money purposes, and some of them move the majority Also, because it is a reality, I think that criminals (the strong) are moving the weak.",1,65,48.9,40.06,30.98,20.23,65,15.38,92.31,78.46,64.62,13.85,7.69,1.54,1.54,0,0,4.62,6.15,23.08,12.31,0,10.77,9.23,4.62,10.77,1.54,15.38,7.69,4.62,4.62,1.54,0,3.08,9.23,0,9.23,1.54,3.08,0,1.54,0,4.62,0,3.08,1.54,1.54,0,0,0,0,0,0,0,7.69,1.54,0,0,0,1.54,0,6.15,0,0,0,0,4.62,0,4.62,0,1.54,1.54,0,0,0,0,3.08,1.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.54,0,4.62,9.23,0,3.08,4.62,1.54,0,0,0,0,9.23,0,0,0,0,0,0,13.85,1.54,6.15,0,0,0,6.15
A,"It is not right to have preconceived notions, but if an incident occurs because of the Korean-Chinese, it is necessary to accurately investigate and take action. I don't think it's right to drive them to be criminals just because they're Korean-Chinese. It's just a pity that it's only portrayed that way in the movie. Of course, there will be such incidents, but I think that if we look at it from the beginning like that, there will only be deep gaps between each other.",1,84,11.88,9.23,89.39,8.95,21,17.86,91.67,76.19,67.86,17.86,5.95,2.38,1.19,0,0,2.38,11.9,14.29,5.95,0,13.1,15.48,7.14,8.33,2.38,20.24,7.14,0,2.38,1.19,0,1.19,15.48,0,15.48,3.57,2.38,0,2.38,2.38,7.14,0,1.19,0,1.19,1.19,0,0,0,0,0,0,4.76,1.19,0,0,0,1.19,0,3.57,0,0,0,0,2.38,0,2.38,0,2.38,1.19,0,1.19,0,0,0,0,0,0,0,0,0,0,0,1.19,0,1.19,0,0,0,0,0,0,8.33,11.9,1.19,2.38,8.33,1.19,0,0,1.19,0,8.33,2.38,0,0,0,0,0,19.05,4.76,5.95,0,0,5.95,2.38
